applicant_id_eri,bird_id_eri,banded,band_number,permit_id,species_id,Type of parrot(provided by applicant),Sex,parrot_age_description,parrot_age_months,date_parrot_age_described,pet_name,period_of_ownership_months,period_of_ownership_years,obtain_by,town_obtained,district_obtain,enclosure_type,cage_location,cage_size_feet,shared_separate,Comments
App_1661,Bird_1829,NO,MISSING,MISSING,MISSING,Green Parrot,Male,MISSING,MISSING,Application,Nene,12.0,1.0,Found in yard,Paraiso Village,Corozal,Free,NA,NA,NA,the bird was found injured
App_1662,Bird_1830,NO,MISSING,MISSING,MISSING,Parrot,MISSING,5.0,60.0,Application,Lorito,36.0,3.0,Gifted,MISSING,MISSING,Cage,MISSING,5*6*5,NA,
App_1663,Bird_1831,NO,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,2.0,24.0,Application,Miclo,24.0,2.0,Found in yard,Belize City,Belize,Cage,,MISSING,NA,"Big cage, with branches for it to climb, his water dish and food dish. Everday it is taken out, he loves being on the shoulder."
App_1664,Bird_1832,NO,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,Cucurito,60.0,5.0,Gifted,MISSING,MISSING,Free & Cage,MISSING,MISSING,NA,
App_1665,Bird_1833,NO,MISSING,MISSING,MISSING,Parrot,MISSING,4.0,48.0,Application,Smigle,48.0,4.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1666,Bird_1834,NO,MISSING,MISSING,MISSING,Amazon Parrot,UNKNOWN,5.0,60.0,Application,Smarty,60.0,5.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING ,
App_1666,Bird_1834,NO,MISSING,MISSING,MISSING,Amazon Parrot,UNKNOWN,5.0,60.0,Application,Spicy,60.0,5.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING ,
App_1667,Bird_1836,NO,MISSING,MISSING,MISSING,Parrot,MISSING,3.0,36.0,Application,Blue,36.0,3.0,Bought,MISSING,MISSING,Free,NA,NA,NA,Bought since it was a baby
App_1668,Bird_1837,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,UNKNOWN,16.0,192.0,Application,Ginger,192.0,16.0,Gifted,MISSING,MISSING,Cage,Indoor,MISSING,NA,Caged indoor
App_1669,Bird_1838,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,2.0,24.0,Application,Paco,24.0,2.0,Taken from the wild,Sayanna,MISSING,MISSING,MISSING,MISSING,MISSING ,
App_1670,Bird_1839,NO,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,Marley,12.0,1.0,Rescued,MISSING,MISSING,Free,NA,NA,NA,
App_1671,Bird_1840,NO,MISSING,MISSING,MISSING,Parrot,MISSING,1.0,12.0,Application,Pauly,12.0,1.0,Gifted,MISSING,MISSING,Cage,On porch,MISSING,NA,Caged on the porch
App_1672,Bird_1841,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,UNKNOWN,16.0,192.0,Application,Pepsi,192.0,16.0,Gifted,MISSING,MISSING,Cage,Indoor,MISSING,MISSING ,
App_1672,Bird_1842,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,UNKNOWN,16.0,192.0,Application,Sprite,192.0,16.0,Gifted,MISSING,MISSING,Cage,Indoor,MISSING,MISSING ,Sprite was taken care of by owner when the mother(previous owner) passed away on Dec 23
App_1673,Bird_1843,NO,MISSING,MISSING,MISSING,Parrot,UNKNOWN,15.0,180.0,Application,MISSING,180.0,15.0,Bought,Crooked Tree,Belize,Cage,MISSING,MISSING,MISSING ,
App_1673,Bird_1844,NO,MISSING,MISSING,MISSING,Parrot,UNKNOWN,15.0,180.0,Application,MISSING,180.0,15.0,Bought,Crooked Tree,Belize,Cage,MISSING,MISSING,MISSING ,
App_1674,Bird_1845,NO,MISSING,MISSING,MISSING,parrot,MISSING,1.0,12.0,Application,Coco,12.0,1.0,Other- Not specified,MISSING,MISSING,Free,NA,NA,NA,
App_1675,Bird_1846,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,Female,18.0,216.0,Application,Borito,180.0,15.0,Rescued,MISSING,MISSING,Free,NA,NA,NA,Borito was abandoned by previous owner
App_1675,Bird_1847,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,Female,14.0,168.0,Application,Polkita,168.0,14.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1675,Bird_1848,NO,MISSING,MISSING,1.0,Red-lored Parrot,Female,10.0,120.0,Application,Rosita,120.0,10.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1676,Bird_1849,NO,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,1.0,12.0,Application,Pauline,12.0,1.0,Rescued,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,Rescued from fire in Unitedville
App_1676,Bird_1850,NO,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,1.0,12.0,Application,Red,12.0,1.0,Rescued,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,Rescued from fire in Unitedville
App_1676,Bird_1851,NO,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,1.0,12.0,Application,Minnie,12.0,1.0,Rescued,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,Rescued from fire in Unitedville
App_1677,Bird_1852,,MISSING,MISSING,Undefined,Undefined,MISSING,0.0,5.0,Application,Lorenzo,5.0,0.0,Gifted,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,Only in cage at night
App_1677,Bird_1853,,MISSING,MISSING,4.0,Mealy Parrot,MISSING,0.0,5.0,Application,Arturo,5.0,0.0,Gifted,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,Only in cage at night
App_1678,Bird_1854,,MISSING,MISSING,MISSING,Parrot,Male,UNKNOWN,UNKNOWN,Application,Pauly,264.0,22.0,Gifted,Isabella Bank,Belize,Free,NA,MISSING,MISSING ,Bird is in the care of grandparents at family home/ kept inside or on veranda
App_1680,Bird_1856,,MISSING,MISSING,MISSING,Parrot,MISSING,8.0,96.0,Application,Turra,96.0,8.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,Freely moves in garden
App_1681,Bird_1857,,MISSING,MISSING,MISSING,Blue fronted Parrot,Female,9 months,9.0,Application,El titi,8.0,0.0,Gifted,MISSING,MISSING,Cage,MISSING,MISSING,MISSING ,Housed in big moveable cage
App_1682,Bird_1858,,MISSING,MISSING,MISSING,Yellow head Amazon Parrot,Male,UNKNOWN,UNKNOWN,Application,Charlie,6.0,0.0,Found,Las Flores,Cayo,Free/Caged,Indoor,MISSING,MISSING ,"Not purchased nor captured, kept in cage during the day"
App_1683,Bird_1859,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,3.0,36.0,Application,Pepe,36.0,3.0,Rescued,Buena Vista Village,Cayo,Caged,Outdoor next to a tree,MISSING,MISSING ,"Housed in a spacious outdoor cage, explores tree nearby"
App_1684,Bird_1860,,MISSING,MISSING,MISSING,Tropical Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pauly,192.0,16.0,Rescued,MISSING,MISSING,Cage,MISSING,MISSING,MISSING ,Rescued from 2 pitbulls
App_1685,Bird_1861,,MISSING,MISSING,MISSING,Parrot,Male,MISSING,MISSING,Application,Lorenzo Galindo,MISSING,MISSING,Gifted,MISSING,MISSING,Free,NA,NA,NA,Inside the house
App_1686,Bird_1862,,MISSING,MISSING,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pakito,MISSING,MISSING,Gifted,MISSING,MISSING,Undefined,MISSING,MISSING,MISSING ,Undefined- person did not specify which parrot is caged and which is free
App_1686,Bird_1863,,MISSING,MISSING,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,No name given,MISSING,MISSING,Gifted,MISSING,MISSING,Undefined,MISSING,MISSING,MISSING ,Undefined- person did not specify which parrot is caged and which is free
App_1687,Bird_1864,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,MISSING,MISSING,Application,Chichico,24.0,12.0,Gifted,MISSING,MISSING,Cage,Room indoor,MISSING,MISSING ,Previous owner did not want the parrot anymore
App_1688,Bird_1865,,MISSING,MISSING,MISSING,Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pancho,30.0,2.5,Rescued,MISSING,MISSING,Free,NA,NA,NA,"Lives inside, taken oudoors"
