application_id_eri,application_id,info_source,applicant_id_eri,applicant_id,application_status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_1,MISSING,Call,App_5,285.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Mrs Casasola didn't apply. Fd just reached to her home, inspected and registered the parrots there and banded both.",NA
Apply_2,CZL 90,Historic,App_6,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_3,CZL 116,Historic,App_8,None,,MISSING,2016-09-29 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_4,CZL 76,Historic,App_13,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_5,MISSING,Historic,App_14,334.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_6,CZL 65,Historic,App_17,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_7,MISSING,Call,App_18,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,straightforward and provided instructions to meet minimum standards and bird got banded,NA
Apply_8,MISSING,Call,App_20,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,FD posted that it was the time to apply for permits and so she did but never got any follow up,"She would like her permit, she said "" better late than never!"""
Apply_9,MISSING,Historic,App_23,286.0,,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_10,CZL 144,Historic,App_25,None,,MISSING,2016-10-27 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_11,CZL 111,Historic,App_26,None,,MISSING,2016-09-27 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_12,CZL 113,Historic,App_27,None,,MISSING,2016-09-27 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
