eri_application_id,application_id,info_source,applicant_id_eri,applicant_id,status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_1,NULL,Call,App_5,285,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mrs Casasola didn't apply. Fd just reached to her home, inspected and registered the parrots there and banded both.",NULL
Apply_2,CZL 90,Historic,App_6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_3,CZL 116,Historic,App_8,NULL,NULL,NULL,2016-09-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_4,CZL 76,Historic,App_13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_5,NULL,Historic,App_14,334,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_6,CZL 65,Historic,App_17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_7,NULL,Call,App_18,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,straightforward and provided instructions to meet minimum standards and bird got banded,NULL
Apply_8,NULL,Call,App_20,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,FD posted that it was the time to apply for permits and so she did but never got any follow up,"She would like her permit, she said "" better late than never!"""
Apply_9,NULL,Historic,App_23,286,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_10,CZL 144,Historic,App_25,NULL,NULL,NULL,2016-10-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_11,CZL 111,Historic,App_26,NULL,NULL,NULL,2016-09-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_12,CZL 113,Historic,App_27,NULL,NULL,NULL,2016-09-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_13,CZL 4,Historic,App_31,NULL,NULL,NULL,2014-12-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_14,NULL,Call,App_33,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FD inspected home and approved her keeping the 5 birds bc all of them were very healthy and living in good conditions.,NULL
Apply_15,CZL 35,Call,App_34,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,NULL,NULL
Apply_16,NULL,Call,App_36,381,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Good,NULL
Apply_17,CZL 73,Historic,App_40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_18,NULL,Historic,App_43,194,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
