id,common_name,scientific_name
3,White-fronted Parrot,Amazona albifrons
1,Red-lored Parrot,Amazona autumnalis
4,Mealy Parrot,Amazona farinosa
2,Yellow-headed Parrot,Amazona oratrix
6,Yellow-lored Parrot,Amazona xanthalora
8,Brown-hooded Parrot,Pyrilia haematotis
11,Salmon-crested Cockatoo,Cacatua moluccensis
12,Yellow-crested Cockatoo,Cacatua sulphurea
7,White-crowned Parrot,Pionus senilis
5,Olive-throated Parakeet,Eupsittula nana
9,Scarlet Macaw,Ara macao
10,Blue-and-yellow Macaw,Ara ararauna
13,Unknown Parakeet,NULL
14,Unknown Parrot,NULL
15,Unknown,NULL
