eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
Bird_1,NULL,Historic,false,App_2,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_2,NULL,Call,NULL,App_3,NULL,NULL,NULL,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,2024-12-13 00:00:00,150,Call date,Bought,Unknown,Unknown,Polly,Female,Makes nests,2024-12-13 00:00:00,150,Call date,true,NULL,Looks healthy,"Parrot is always saying applicant's name. He follows Mr. Abel all over the house. When visitors come into the house, he chases them.","Applicant reported have a permit; Agreed to send a photo of permit, however, later indicated that it wasn't found"
Bird_3,NULL,Historic,true,App_4,CWP FD 052,67,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.0,576,Application date,NULL,NULL,NULL,NULL,NULL
Bird_4,197.0,Call,true,App_5,CWP FD 228,201,Apply_1,NULL,NULL,NULL,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,9.0,108,Call date,Rescued,NULL,NULL,Paquito,NULL,NULL,9.0,108,Call date,true,NULL,Hard to tell as pictures are not clear,NULL,"One parrot died yrs back. Paquito is still alive but is unable to identify bc the parrot doesnt allow her to touch him/her and therefore can't see band #. Also, she lost/misplaced the permit."
Bird_5,198.0,Call,true,App_5,CWP FD 229,201,Apply_1,NULL,NULL,NULL,false,Died,Years ago,DFC area,Call date,NULL,NULL,NULL,Red-lored Parrot,1,Yes,9.0,108,Call date,Rescued,NULL,NULL,Rosita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"One parrot died yrs back. Paquito is still alive but is unable to identify bc the parrot doesnt allow her to touch him/her and therefore can't see band #. Also, she lost/misplaced the permit."
Bird_6,NULL,Historic,false,App_6,NULL,NULL,Apply_2,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_7,NULL,Historic,true,App_10,GOB A 238,35,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Quate,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_8,NULL,Historic,false,App_12,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_9,NULL,Historic,false,App_13,NULL,NULL,Apply_4,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_10,NULL,Historic,false,App_13,NULL,NULL,Apply_4,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_11,260.0,Historic,true,App_14,CWP FD 373,455,Apply_5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polly,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
