permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
0,304,"2024 FD Database, Call",App_577,404,Active,,San Ignacio,0.0,,Inactive,2,Ref number and permit number 0 on FD database 2024 for some reason; the permit was lost by applicant
1,50,Call,App_318,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Belmopan,,2018-05-02,,1,
1,50,2024 FD Database,App_739,75,Active,,Belmopan,FD/GEN/42/3/14,2014-10-01,Active,1,
1,50,2024 FD Database,App_971,75,Active,,Belmopan,FD/GEN/42/3/14,2016-02-17,,1,
1,50,2024 FD Database,App_133,75,Active,,Belmopan,FD/GEN/42/3/14,2016-02-17,,1,
2,51,2024 FD Database,App_894,79,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-02,Active,2,
2,51,Historic,App_1118,,,,San Ignacio,,2018-11-04,,1,
3,52,Historic,App_349,,,,San Ignacio,,2018-05-02,,1,
3,52,2024 FD Database,App_1126,81,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-03,Active,2,
4,53,Historic,App_420,,,,San Ignacio,,2018-02-02,,1,
4,53,2024 FD Database,App_520,82,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-03,Active,1,
5,54,Historic,App_272,,,,San Ignacio,,2018-11-04,,1,
5,54,2024 FD Database,App_909,83,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-03,Active,1,
6,55,2024 FD Database,App_433,88,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-03,Active,1,
6,55,Historic,App_689,,,,San Ignacio,,2018-05-02,,1,
7,56,2024 FD Database,App_658,90,Active,,San Ignacio,FD/GEN/42/3/14,2014-10-03,Active,3,Applicant unsure why two permits
7,56,Call,App_1072,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,San Ignacio,,2018-02-02,,1,
8,57,2024 FD Database,App_749,91,Active,,Orange Walk,FD/GEN/42/3/14,2014-10-07,Active,2,
8,57,"2024 FD Database, Historic",App_1447,99,,,Orange Walk,,,,2,
9,58,Historic,App_979,,,,Orange Walk,,2018-02-02,,1,
9,58,2024 FD Database,App_1283,92,Active,,Orange Walk,FD/GEN/42/3/14,2014-10-07,Active,1,
